435,Shape Of You,Ed Sheeran,novice, C#m,No Capo, E A D G B E,Shape of You,0.825,0.652,1,0.581,0.0,0.9309999999999999,95.977,233713,2017,No Lyrics
837,Heart Of Gold,Neil Young,intermediate,Db,No Capo,E A D G B E,Songs for Judy,0.39299999999999996,0.4,4,0.391,0.0015400000000000001,0.344,96.727,173547,2018,No Lyrics
791,Bohemian Rhapsody,Queen,intermediate, Bb,No Capo, E A D G B E,Wayne's World (Music From The Motion Picture),0.391,0.384,0,0.16,1.54e-06,0.24,144.673,357933,1992,No Lyrics
797,La Grange,ZZ Top,intermediate,Db,No Capo,E A D G B E,Armageddon - The Album,0.575,0.682,4,0.0295,0.0579,0.7,162.01,214867,1998,No Lyrics
5,Master Of Puppets,Metallica,intermediate, Em,No Capo, E A D G B E,Rock and Roll Hall of Fame Volume 10: 2008-2009,0.28300000000000003,0.932,3,6.59e-05,0.000314,0.435,116.772,473920,2011,No Lyrics
6,Tush,ZZ Top,intermediate,Db,No Capo,E A D G B E,Rock and Roll Hall of Fame Volume 8: 2004-2005,0.22399999999999998,0.992,7,0.000181,0.0724,0.507,149.695,151587,2011,No Lyrics
812,Sharp Dressed Man,ZZ Top,intermediate,Db,No Capo, E A D ,Evan Almighty,0.5920000000000001,0.888,5,0.000998,0.0006,0.40299999999999997,124.947,255640,2007,No Lyrics
316,Yesterday,The Beatles,novice, F, 5th fret, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,"Yesterday, all my troubles seemed so far away
Now it looks as though they're here to stay
Oh, I believe in yesterday

Suddenly, I'm not half the man I used to be
There's a shadow hanging over me
Oh, yesterday came suddenly

Why she had to go I don't know she wouldn't say
I said something wrong, now I long for yesterday

Yesterday, love was such an easy game to play
Now I need a place to hide away
Oh, I believe in yesterday

Why she had to go I don't know she wouldn't say
I said something wrong, now I long for yesterday

Yesterday, love was such an easy game to play
Now I need a place to hide away
Oh, I believe in yesterday
Mm mm mm mm mm mm mm"
9,Gimme All Your Lovin,ZZ Top,intermediate,Db,No Capo,E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
18,Stairway To Heaven,Led Zeppelin,intermediate, Am,No Capo, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
412,Under The Bridge,Red Hot Chili Peppers,intermediate,Db,No Capo, E A D G B ,Greatest Hits,0.5539999999999999,0.49,4,0.0168,0.000534,0.513,84.275,265507,2003,"Sometimes I feel
Like I don't have a partner
Sometimes I feel
Like my only friend
Is the city I live in
The city of angels
Lonely as I am
Together we cry

I drive on her streets
'Cause she's my companion
I walk through her hills
'Cause she knows who I am
She sees my good deeds
And she kisses me windy
I never worry
Now that is a lie

I don't ever want to feel
Like I did that day
Take me to the place I love
Take me all the way
I don't ever want to feel
Like I did that day
Take me to the place I love
Take me all the way (yeah yeah)

It's hard to believe
That there's nobody out there
It's hard to believe
That I'm all alone
At least I have her love
The city she loves me
Lonely as I am
Together we cry

I don't ever want to feel
Like I did that day
Take me to the place I love
Take me all the way
I don't ever want to feel
Like I did that day
Take me to the place I love
Take me all the way (yeah yeah)
Ooh no (no no yeah yeah)
Love me I say yeah yeah

Under the bridge downtown
Is were I drew some blood
Under the bridge downtown
I could not get enough
Under the bridge downtown
Forgot about my love
Under the bridge downtown
I gave my life away (yeah yeah)
Ooh no (no no yeah yeah)
Here I stay yeah yeah

Here I stay"
577,Let It Be,The Beatles,intermediate, C,No Capo,E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,"When I find myself in times of trouble, Mother Mary comes to me
Speaking words of wisdom, let it be
And in my hour of darkness she is standing right in front of me
Speaking words of wisdom, let it be
Let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be

And when the broken hearted people living in the world agree
There will be an answer, let it be
For though they may be parted, there is still a chance that they will see
There will be an answer, let it be
Let it be, let it be, let it be, let it be
There will be an answer, let it be
Let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be
Let it be, let it be, let it be, let it be
Whisper words of wisdom, let it be

And when the night is cloudy there is still a light that shines on me
Shine until tomorrow, let it be
I wake up to the sound of music, Mother Mary comes to me
Speaking words of wisdom, let it be
Let it be, let it be, let it be, yeah, let it be
There will be an answer, let it be
Let it be, let it be, let it be, yeah, let it be
Whisper words of wisdom, let it be"
13,Take It Easy,Eagles,novice, G,No Capo, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
307,Hallelujah,Leonard Cohen,novice, C, 5th fret, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
15,Perfect,Ed Sheeran,novice, Ab, 1st fret, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
305,All Of Me,John Legend,novice, Fm, 1st fret, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
821,Let Her Go,Passenger,intermediate,Db, 7th fre, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
297,Im Yours,Jason Mraz,novic,Db,No Capo,E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
443,Cant Help Falling In Love,Elvis Presley,intermediate, G,No Capo, E A D G B E,The Essential Elvis Presley,0.455,0.331,2,0.895,7.94e-06,0.34600000000000003,101.421,177387,2007,"Wise men say only fools rush in
But I can't help falling in love with you
Shall I stay?
Would it be a sin
If I can't help falling in love with you?

Like a river flows surely to the sea
Darling so it goes
Some things are meant to be
Take my hand, take my whole life too
For I can't help falling in love with you

Like a river flows surely to the sea
Darling so it goes
Some things are meant to be
Take my hand, take my whole life too
For I can't help falling in love with you
For I can't help falling in love with you"
784,Thinking Out Loud,Ed Sheeran,novice, D,No Capo, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
22,Airplane,Plain White T's,intermediate, Gm,No Capo, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
485,The Scientist,Coldplay,intermediate, Am,No Capo, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
68,Someone Like You,Adele,novice, G, 2nd fret, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
25,When I Was Your Man,Bruno Mars,novice, C,No Capo, E A D G B E,Unorthodox Jukebox,0.612,0.28,0,0.932,0.0,0.387,72.795,213827,2012,No Lyrics
730,Nothing Else Matters,Metallica,novice, Em,No Capo, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
27,Love Yourself,Justin Bieber,novice, E, 4th fret,E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,"For all the times that you rain on my parade
And all the clubs you get in using my name
You think you broke my heart, oh girl for goodness sake
You think I'm crying, on my own well I ain't

And I didn't wanna write a song 'cause I didn't want anyone thinking I still care
I don't but, you still hit my phone up
And baby I be movin' on and I think you should be somethin'
I don't wanna hold back, maybe you should know that
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
And now I know, I'm better sleeping on my own

'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

But when you told me that you hated my friends
The only problem was with you and not them
And every time you told me my opinion was wrong
And tried to make me forget where I came from

And I didn't wanna write a song cause I didn't want anyone thinking I still care
I don't but, you still hit my phone up
And baby I be movin' on and I think you should be somethin'
I don't wanna hold back, maybe you should know that
My mama don't like you and she likes everyone
And I never like to admit that I was wrong
And I've been so caught up in my job, didn't see what's going on
And now I know, I'm better sleeping on my own

'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself

For all the times you made me feel small
I fell in love, now I feel nothin' at all
I never felt so low when I was vulnerable
Was I a fool to let you break down my walls?

'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself
'Cause if you like the way you look that much
Oh baby you should go and love yourself
And if you think that I'm still holdin' on to somethin'
You should go and love yourself"
830,Riptide,Vance Joy,novice, Bbm, 6th fret, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
220,Photograph,Ed Sheeran,novice, C, 4th fret, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
369,Creep,Radiohead,intermediate, C,No Capo, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
777,Wish You Were Here,Pink Floyd,intermediate, G,No Capo, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
450,Wonderwall,Oasis,novice, F#m, 2nd fret, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
33,Dont Look Back In Anger,Oasis,novice, C,No Capo, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
159,Hey Soul Sister,Train,intermediat,Db,No Capo,E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
763,Hotel California,Eagles,intermediate,Db,No Capo,E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
582,Iris,Goo Goo Dolls,intermediate,Db,No Capo, E A D G B ,City of Angels (Music from the Motion Picture),0.315,0.715,11,0.00125,7.97e-06,0.4970000000000001,155.925,289533,1998,No Lyrics
318,I See Fire,Ed Sheeran,novice,Db, 1st fre, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
552,Love Story,Taylor Swift,novice, D,No Capo, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
752,Sweet Child O Mine,Guns N' Roses,intermediate, D,No Capo, Eb Ab Db Gb Bb Eb,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
41,The Only Exception,Paramore,novice, B, 4th fret, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
42,Viva La Vida,Coldplay,intermediate, Ab, 1st fret, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
665,Hey There Delilah,Plain White T's,novice, D, 2nd fret, E A D G B E,No Album info,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No Duration info,No Year info,No Lyrics info
